stem,label,fold,embedding_path,is_augmented,aug_idx
250825_152739_A35W_10-2 [16384],Pass,2,data\embeddings\Pass\250825_152739_A35W_10-2 [16384].npy,False,0
250825_152739_A35W_11-2 [16],Pass,1,data\embeddings\Pass\250825_152739_A35W_11-2 [16].npy,False,0
250825_152739_A35W_12-1 [1024],Pass,3,data\embeddings\Pass\250825_152739_A35W_12-1 [1024].npy,False,0
250825_152739_A35W_13-2 [16],Pass,1,data\embeddings\Pass\250825_152739_A35W_13-2 [16].npy,False,0
250825_152739_A35W_18-1 [1024],Pass,3,data\embeddings\Pass\250825_152739_A35W_18-1 [1024].npy,False,0
250825_152739_A35W_18-3 [16],Pass,4,data\embeddings\Pass\250825_152739_A35W_18-3 [16].npy,False,0
250825_152739_A35W_2-3 [16],Pass,1,data\embeddings\Pass\250825_152739_A35W_2-3 [16].npy,False,0
250825_152739_A35W_3-2 [16384],Pass,0,data\embeddings\Pass\250825_152739_A35W_3-2 [16384].npy,False,0
250825_152739_A35W_4-2 [16384],Pass,4,data\embeddings\Pass\250825_152739_A35W_4-2 [16384].npy,False,0
250825_152739_A35W_5-3 [16],Pass,1,data\embeddings\Pass\250825_152739_A35W_5-3 [16].npy,False,0
250825_152739_A35W_6-2 [16384],Pass,2,data\embeddings\Pass\250825_152739_A35W_6-2 [16384].npy,False,0
250825_152739_A35W_6-3 [16],Pass,0,data\embeddings\Pass\250825_152739_A35W_6-3 [16].npy,False,0
250825_174651_A35W_1-1 [1024],Pass,0,data\embeddings\Pass\250825_174651_A35W_1-1 [1024].npy,False,0
250825_174651_A35W_1-2 [16384],Pass,0,data\embeddings\Pass\250825_174651_A35W_1-2 [16384].npy,False,0
250825_174651_A35W_1-3 [16],Pass,4,data\embeddings\Pass\250825_174651_A35W_1-3 [16].npy,False,0
250825_174651_A35W_10-1 [1024],Pass,0,data\embeddings\Pass\250825_174651_A35W_10-1 [1024].npy,False,0
250825_174651_A35W_10-3 [16],Pass,0,data\embeddings\Pass\250825_174651_A35W_10-3 [16].npy,False,0
250825_174651_A35W_11-1 [1024],Pass,2,data\embeddings\Pass\250825_174651_A35W_11-1 [1024].npy,False,0
250825_174651_A35W_11-2 [16384],Pass,2,data\embeddings\Pass\250825_174651_A35W_11-2 [16384].npy,False,0
250825_174651_A35W_11-3 [16],Pass,2,data\embeddings\Pass\250825_174651_A35W_11-3 [16].npy,False,0
250825_174651_A35W_12-1 [1024],Pass,1,data\embeddings\Pass\250825_174651_A35W_12-1 [1024].npy,False,0
250825_174651_A35W_12-3 [16],Pass,2,data\embeddings\Pass\250825_174651_A35W_12-3 [16].npy,False,0
250825_174651_A35W_13-1 [1024],Pass,0,data\embeddings\Pass\250825_174651_A35W_13-1 [1024].npy,False,0
250825_174651_A35W_13-2 [16],Pass,4,data\embeddings\Pass\250825_174651_A35W_13-2 [16].npy,False,0
250825_174651_A35W_13-3 [16],Pass,4,data\embeddings\Pass\250825_174651_A35W_13-3 [16].npy,False,0
250825_174651_A35W_14-1 [1024],Pass,0,data\embeddings\Pass\250825_174651_A35W_14-1 [1024].npy,False,0
250825_174651_A35W_14-2 [16384],Pass,2,data\embeddings\Pass\250825_174651_A35W_14-2 [16384].npy,False,0
250825_174651_A35W_14-3 [16],Pass,2,data\embeddings\Pass\250825_174651_A35W_14-3 [16].npy,False,0
250825_174651_A35W_16-2 [16384],Pass,4,data\embeddings\Pass\250825_174651_A35W_16-2 [16384].npy,False,0
250825_174651_A35W_16-3 [16],Pass,2,data\embeddings\Pass\250825_174651_A35W_16-3 [16].npy,False,0
250825_174651_A35W_17-1 [1024],Pass,3,data\embeddings\Pass\250825_174651_A35W_17-1 [1024].npy,False,0
250825_174651_A35W_17-2 [16384],Pass,3,data\embeddings\Pass\250825_174651_A35W_17-2 [16384].npy,False,0
250825_174651_A35W_17-3 [16],Pass,1,data\embeddings\Pass\250825_174651_A35W_17-3 [16].npy,False,0
250825_174651_A35W_18-1 [1024],Pass,4,data\embeddings\Pass\250825_174651_A35W_18-1 [1024].npy,False,0
250825_174651_A35W_19-1 [1024],Pass,1,data\embeddings\Pass\250825_174651_A35W_19-1 [1024].npy,False,0
250825_174651_A35W_19-2 [16384],Pass,2,data\embeddings\Pass\250825_174651_A35W_19-2 [16384].npy,False,0
