filepath,label,session_id,sensor,position,layer,param,fold
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_152739_A35W_10-2 [16384].bmp,Pass,250825_152739,A35W,10,2,16384,4
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_152739_A35W_11-2 [16].bmp,Pass,250825_152739,A35W,11,2,16,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_152739_A35W_12-1 [1024].bmp,Pass,250825_152739,A35W,12,1,1024,2
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_152739_A35W_13-2 [16].bmp,Pass,250825_152739,A35W,13,2,16,3
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_152739_A35W_18-1 [1024].bmp,Pass,250825_152739,A35W,18,1,1024,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_152739_A35W_18-3 [16].bmp,Pass,250825_152739,A35W,18,3,16,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_152739_A35W_2-3 [16].bmp,Pass,250825_152739,A35W,2,3,16,2
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_152739_A35W_3-2 [16384].bmp,Pass,250825_152739,A35W,3,2,16384,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_152739_A35W_4-2 [16384].bmp,Pass,250825_152739,A35W,4,2,16384,3
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_152739_A35W_5-3 [16].bmp,Pass,250825_152739,A35W,5,3,16,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_152739_A35W_6-2 [16384].bmp,Pass,250825_152739,A35W,6,2,16384,2
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_152739_A35W_6-3 [16].bmp,Pass,250825_152739,A35W,6,3,16,2
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_1-1 [1024].bmp,Pass,250825_174651,A35W,1,1,1024,2
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_1-2 [16384].bmp,Pass,250825_174651,A35W,1,2,16384,2
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_1-3 [16].bmp,Pass,250825_174651,A35W,1,3,16,2
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_10-1 [1024].bmp,Pass,250825_174651,A35W,10,1,1024,2
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_10-3 [16].bmp,Pass,250825_174651,A35W,10,3,16,2
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_11-1 [1024].bmp,Pass,250825_174651,A35W,11,1,1024,4
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_11-2 [16384].bmp,Pass,250825_174651,A35W,11,2,16384,4
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_11-3 [16].bmp,Pass,250825_174651,A35W,11,3,16,4
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_12-1 [1024].bmp,Pass,250825_174651,A35W,12,1,1024,3
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_12-3 [16].bmp,Pass,250825_174651,A35W,12,3,16,3
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_13-1 [1024].bmp,Pass,250825_174651,A35W,13,1,1024,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_13-2 [16].bmp,Pass,250825_174651,A35W,13,2,16,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_13-3 [16].bmp,Pass,250825_174651,A35W,13,3,16,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_14-1 [1024].bmp,Pass,250825_174651,A35W,14,1,1024,4
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_14-2 [16384].bmp,Pass,250825_174651,A35W,14,2,16384,4
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_14-3 [16].bmp,Pass,250825_174651,A35W,14,3,16,4
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_16-2 [16384].bmp,Pass,250825_174651,A35W,16,2,16384,2
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_16-3 [16].bmp,Pass,250825_174651,A35W,16,3,16,2
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_17-1 [1024].bmp,Pass,250825_174651,A35W,17,1,1024,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_17-2 [16384].bmp,Pass,250825_174651,A35W,17,2,16384,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_17-3 [16].bmp,Pass,250825_174651,A35W,17,3,16,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_18-1 [1024].bmp,Pass,250825_174651,A35W,18,1,1024,2
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_19-1 [1024].bmp,Pass,250825_174651,A35W,19,1,1024,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_19-2 [16384].bmp,Pass,250825_174651,A35W,19,2,16384,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_19-3 [16].bmp,Pass,250825_174651,A35W,19,3,16,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_2-2 [16384].bmp,Pass,250825_174651,A35W,2,2,16384,3
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_20-1 [1024].bmp,Pass,250825_174651,A35W,20,1,1024,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_20-2 [16384].bmp,Pass,250825_174651,A35W,20,2,16384,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_20-3 [16].bmp,Pass,250825_174651,A35W,20,3,16,1
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_21-1 [1024].bmp,Pass,250825_174651,A35W,21,1,1024,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_21-2 [16384].bmp,Pass,250825_174651,A35W,21,2,16384,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_21-3 [16].bmp,Pass,250825_174651,A35W,21,3,16,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_22-1 [1024].bmp,Pass,250825_174651,A35W,22,1,1024,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_22-2 [16384].bmp,Pass,250825_174651,A35W,22,2,16384,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_22-3 [16].bmp,Pass,250825_174651,A35W,22,3,16,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_23-1 [1024].bmp,Pass,250825_174651,A35W,23,1,1024,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_23-2 [16384].bmp,Pass,250825_174651,A35W,23,2,16384,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_23-3 [16].bmp,Pass,250825_174651,A35W,23,3,16,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_24-1 [1024].bmp,Pass,250825_174651,A35W,24,1,1024,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_24-2 [16].bmp,Pass,250825_174651,A35W,24,2,16,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_24-3 [16].bmp,Pass,250825_174651,A35W,24,3,16,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_25-1 [1024].bmp,Pass,250825_174651,A35W,25,1,1024,4
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_25-2 [16384].bmp,Pass,250825_174651,A35W,25,2,16384,4
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_25-3 [16].bmp,Pass,250825_174651,A35W,25,3,16,4
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_26-1 [1024].bmp,Pass,250825_174651,A35W,26,1,1024,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_26-2 [16384].bmp,Pass,250825_174651,A35W,26,2,16384,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_26-3 [16].bmp,Pass,250825_174651,A35W,26,3,16,0
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_27-1 [1024].bmp,Pass,250825_174651,A35W,27,1,1024,3
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_27-3 [16].bmp,Pass,250825_174651,A35W,27,3,16,3
C:\Users\jhpyo\Desktop\MyProject\Coil-image-Dataset\Pass\250825_174651_A35W_28-1 [1024].bmp,Pass,250825_174651,A35W,28,1,1024,4
